"KN294145v1","72888","73183","JH378242","1241936","1242211","68","1169048"
"KN294147v1","1390883","1391171","JH378117","8487288","8487562","46","7096405"
"KN294147v1","1400082","1400386","JH378117","8496125","8496428","44","7096043"
"KN294147v1","1402572","1402735","JH378136","2778914","2779077","36","1376342"
"KN294147v1","1410246","1410462","JH378152","13876258","13876470","54","12466012"
"KN294147v1","1412895","1413216","JH378117","8505848","8506166","65","7092953"
"KN294147v1","1416079","1416223","JH378140","6064204","6064344","28","4648125"
"KN294147v1","1416524","1416687","JH378272","662078","662242","31","754446"
"KN294147v1","1423201","1423505","JH378117","8515096","8515381","51","7091895"
"KN294147v1","1432318","1432429","JH378117","8525466","8525583","16","7093148"
"KN294147v1","1432438","1432734","JH378108","37309856","37310158","65","35877418"
"KN294147v1","1435222","1435487","JH378117","8527931","8528204","54","7092709"
"KN294147v1","1436184","1436450","JH378117","8528861","8529142","55","7092677"
"KN294147v1","1455541","1455638","JH378149","13454736","13454825","27","11999195"
"KN294147v1","1455661","1455713","JH378105","14240377","14240428","8","12784716"
"KN294147v1","1455714","1456054","JH378135","11302976","11303279","93","9847262"
"KN294147v1","1458951","1459141","JH378188","55478","55665","42","1403473"
"KN294147v1","1469284","1469581","JH378184","3178931","3179215","65","1709647"
"KN294147v1","1470199","1470457","JH378115","2508476","2508736","64","1038277"
"KN294147v1","1484956","1485249","JH378111","34354234","34354527","49","32869278"
"KN294147v1","1495458","1495717","JH378173","6846396","6846655","64","5350938"
"KN294147v1","1504229","1504527","JH378109","289662","289954","66","1214567"
"KN294147v1","1510475","1510772","JH378117","8608672","8608965","41","7098197"
"KN294147v1","1520444","1520718","JH378117","8618242","8618510","37","7097798"
"KN294147v1","1521701","1521994","JH378117","8619523","8619827","49","7097822"
"KN294147v1","1539519","1539783","JH378149","4039400","4039659","55","2499881"
"KN294147v1","1541963","1542239","JH378105","22439370","22439647","65","20897407"
"KN294147v1","1545353","1545515","JH378110","39241561","39241721","38","37696208"
"KN294147v1","1545799","1545955","JH378113","23496249","23496408","39","21950450"
"KN294147v1","1560174","1560505","JH378117","8656776","8657092","54","7096602"
"KN294147v1","1581341","1581646","JH378291","1554946","1555240","63","26395"
"KN294147v1","1583230","1583511","JH378117","8679878","8680172","45","7096648"
"KN294147v1","1588751","1589045","JH378114","42572765","42573053","55","40984014"
"KN294147v1","1617679","1617897","JH378241","4728583","4728795","47","3110904"
"KN294147v1","1629615","1629891","JH378299","952525","952813","54","677090"
"KN294147v1","1660848","1661132","JH378271","1236198","1236484","59","424650"
"KN294147v1","1667886","1668134","JH378157","8675412","8675646","66","7007526"
"KN294147v1","1672441","1672725","JH378117","8767618","8767918","47","7095177"
"KN294147v1","1672875","1673134","JH378117","8768065","8768326","40","7095190"
"KN294147v1","1687283","1687565","JH378117","8785355","8785642","62","7098072"
"KN294147v1","1708996","1709300","JH378117","8808480","8808780","42","7099484"
"KN294147v1","1748855","1749165","JH378117","8852114","8852415","44","7103259"
"KN294147v1","1757162","1757343","JH378181","3887472","3887646","35","2130310"
"KN294147v1","1761743","1762040","JH378141","13365096","13365397","63","11603353"
"KN294147v1","1812551","1812740","JH378117","8907432","8907624","17","7094881"
"KN294147v1","1863465","1863753","JH378117","8945070","8945352","40","7081605"
"KN294147v1","1908047","1908133","JH378112","32386077","32386166","16","30478030"
"KN294147v1","1908269","1908392","JH378177","8590154","8590285","41","6681885"
"KN294147v1","1935322","1935604","JH378117","32906660","32906951","62","30971338"
"KN294147v1","1958827","1958918","JH378151","14996736","14996829","16","13037909"
"KN294147v1","1959227","1959465","JH378291","2716921","2717154","57","757694"
"KN294147v1","1972997","1973284","JH378117","9031565","9031867","46","7058568"
"KN294148v1","9181","9334","JH378192","1903739","1903888","38","1894558"
"KN294148v1","33231","33434","JH378194","3922138","3922341","49","3888907"
"KN294150v1","26530","26646","JH378179","1243533","1243649","25","1217003"
"KN294152v1","25326","25630","JH378251","1001941","1002220","61","976615"
"KN294152v1","103596","103859","JH378119","27820357","27820615","67","27716761"
"KN294152v1","120779","120941","JH378158","2547277","2547438","36","2426498"
"KN294158v1","18774","18900","JH378131","9352500","9352624","24","9333726"
"KN294158v1","28363","28669","JH378105","11851814","11852119","48","11823451"
"KN294158v1","54616","54911","JH378105","11816577","11816865","40","11761961"
"KN294158v1","112320","112624","JH378110","19258592","19258895","51","19146272"
"KN294158v1","152466","152779","JH378135","20837280","20837553","95","20684814"
"KN294158v1","214291","214603","JH378137","5241878","5242187","54","5027587"
"KN294158v1","219338","219647","JH378105","11652821","11653120","49","11433483"
"KN294158v1","222441","222627","JH378115","7327698","7327884","48","7105257"
"KN294158v1","239307","239594","JH378105","11632107","11632361","64","11392800"
"KN294158v1","338044","338198","JH378144","4651024","4651181","24","4312980"
"KN294158v1","338224","338341","JH378124","21075900","21076016","21","20737676"
"KN294158v1","391407","391575","JH378105","11459688","11459857","27","11068281"
"KN294158v1","391623","391678","JH378105","11459596","11459651","5","11067973"
"KN294158v1","526537","526815","JH378267","1509522","1509801","56","982985"
"KN294158v1","612198","612487","JH378216","1327584","1327873","57","715386"
"KN294161v1","524048","524385","JH378107","52904648","52904968","68","52380600"
"KN294161v1","68925","69024","JH378146","1023993","1024085","20","955068"
"KN294161v1","77543","77683","JH378164","3031988","3032120","26","2954445"
"KN294161v1","77992","78154","JH378247","2732325","2732489","32","2654333"
"KN294161v1","106341","106535","JH378114","22941","23151","32","83400"
"KN294161v1","145222","145520","JH378114","60972","61254","49","84250"
"KN294161v1","157593","157893","JH378114","72403","72705","41","85190"
"KN294161v1","187480","187757","JH378114","95881","96170","54","91599"
"KN294161v1","191571","191880","JH378114","100082","100394","46","91489"
"KN294161v1","245736","246043","JH378114","151896","152204","41","93840"
"KN294161v1","273718","274040","JH378114","178384","178698","56","95334"
"KN294161v1","280046","280337","JH378153","3950587","3950884","57","3670541"
"KN294161v1","328980","329108","JH378114","230312","230437","13","98668"
"KN294161v1","329401","329563","JH378114","230735","230900","17","98666"
"KN294161v1","364396","364556","JH378114","277727","277884","20","86669"
"KN294161v1","380569","380835","JH378139","2712883","2713135","69","2332314"
"KN294161v1","394738","395014","JH378114","310168","310436","55","84570"
"KN294161v1","411741","411915","JH378114","329564","329733","22","82177"
"KN294161v1","447173","447480","JH378194","255134","255432","54","192039"
"KN294161v1","464832","465119","JH378125","4285479","4285765","55","3820647"
"KN294161v1","471885","472025","JH378114","396056","396192","18","75829"
"KN294161v1","484123","484368","JH378107","28986577","28986819","52","28502454"
"KN294161v1","488406","488703","JH378114","413046","413332","49","75360"
"KN294161v1","492227","492528","JH378153","9257689","9257996","58","8765462"
"KN294161v1","530680","530882","JH378114","456452","456652","26","74228"
"KN294161v1","555741","555879","JH378137","19773155","19773295","31","19217414"
"KN294161v1","586648","586784","JH378118","10435467","10435604","26","9848819"
"KN294161v1","603987","604275","JH378114","19861170","19861456","55","19257183"
"KN294161v1","614550","614864","JH378114","534720","535018","52","79830"
"KN294161v1","642604","642891","JH378114","560826","561127","52","81778"
"KN294161v1","649533","649756","JH378114","570067","570277","32","79466"
"KN294161v1","672098","672339","JH378119","13546399","13546629","64","12874301"
"KN294161v1","673236","673514","JH378195","1601821","1602092","54","928585"
"KN294161v1","673931","674192","JH378252","3836880","3837148","69","3162949"
"KN294161v1","684500","684705","JH378109","25713559","25713754","53","25029059"
"KN294161v1","692875","693179","JH378114","604820","605124","44","88055"
"KN294161v1","696470","696779","JH378109","11286344","11286646","62","10589874"
"KN294161v1","722184","722480","JH378110","15947830","15948130","62","15225646"
"KN294161v1","803384","803676","JH378114","698908","699191","37","104476"
"KN294161v1","907658","907951","JH378114","805087","805361","48","102571"
"KN294161v1","917361","917488","JH378117","9552924","9553054","31","8635563"
"KN294161v1","918177","918486","JH378114","815946","816240","50","102231"
"KN294161v1","925704","925996","JH378299","652282","652572","55","273422"
"KN294161v1","935424","935704","JH378160","3587217","3587498","51","2651793"
"KN294161v1","936164","936455","JH378114","834214","834491","45","101950"
"KN294161v1","939579","939735","JH378167","6286204","6286363","31","5346625"
"KN294161v1","939946","940078","JH378142","18730486","18730621","20","17790540"
"KN294161v1","944669","944829","JH378136","14497273","14497428","45","13552604"
"KN294161v1","954046","954327","JH378198","2489271","2489549","52","1535225"
"KN294161v1","962012","962108","JH378114","870748","870845","14","91264"
"KN294161v1","994031","994334","JH378114","903213","903517","46","90818"
"KN294161v1","1005662","1005816","JH378167","6375502","6375653","33","5369840"
"KN294161v1","1006404","1006566","JH378152","15052928","15053079","35","14046524"
"KN294161v1","1014776","1015130","JH378123","8185083","8185436","88","7170307"
"KN294161v1","1029878","1030193","JH378114","942239","942546","46","87639"
"KN294161v1","1348202","1348470","JH378156","459385","459645","58","888817"
"KN294166v1","24022","24318","JH378119","23095339","23095639","53","23071317"
"KN294166v1","82239","82543","JH378107","24138109","24138420","57","24055870"
"KN294166v1","96695","97005","JH378170","5087736","5088042","69","4991041"
"KN294166v1","133227","133543","JH378327","130466","130781","72","2761"
"KN294166v1","152348","152646","JH378145","3290303","3290600","68","3137955"
"KN294166v1","163020","163321","JH378108","32327764","32328062","54","32164744"
"KN294167v1","5917","6195","JH378122","9859718","9859977","63","9853801"
"KN294167v1","55128","55419","JH378105","20667567","20667846","54","20612439"
"KN294167v1","66149","66310","JH378110","30425655","30425817","41","30359506"
"KN294167v1","66361","66444","JH378149","11196528","11196609","18","11130167"
"KN294167v1","131933","132235","JH378105","20730468","20730762","57","20598535"
"KN294167v1","137130","137420","JH378105","20736056","20736356","51","20598926"
"KN294167v1","150422","150697","JH378105","20749036","20749318","36","20598614"
"KN294167v1","165960","166261","JH378105","20763738","20764052","51","20597778"
"KN294167v1","268686","268977","JH378129","8496839","8497128","53","8228153"
"KN294167v1","292163","292458","JH378105","20900829","20901136","45","20608666"
"KN294167v1","294254","294547","JH378110","10978152","10978443","57","10683898"
"KN294167v1","308768","309013","JH378105","20916548","20916756","52","20607780"
"KN294167v1","325631","325934","JH378105","20933689","20933967","54","20608058"
"KN294167v1","346448","346754","JH378105","20954909","20955214","40","20608461"
"KN294167v1","375732","376039","JH378129","1296842","1297150","60","921110"
"KN294167v1","390588","390872","JH378132","1866129","1866416","46","1475541"
"KN294167v1","392455","392646","JH378105","21001988","21002165","30","20609533"
"KN294167v1","425245","425541","JH378105","21037527","21037826","47","20612282"
"KN294167v1","434659","434962","JH378105","21049115","21049401","62","20614456"
"KN294167v1","437564","437840","JH378105","21053221","21053500","54","20615657"
"KN294167v1","439335","439647","JH378114","36461261","36461565","62","36021926"
"KN294167v1","467090","467275","JH378136","6737860","6738040","37","6270770"
"KN294167v1","485820","486129","JH378105","21086125","21086438","41","20600305"
"KN294167v1","491783","491905","JH378129","3146273","3146395","19","2654490"
"KN294167v1","494491","494795","JH378105","21097993","21098281","57","20603502"
"KN294167v1","510059","510315","JH378105","21115483","21115749","51","20605424"
"KN294167v1","515747","516050","JH378105","21121031","21121336","57","20605284"
"KN294167v1","518566","518871","JH378105","21123553","21123852","48","20604987"
"KN294167v1","524005","524170","JH378105","21129188","21129366","29","20605183"
"KN294167v1","539479","539745","JH378107","32318467","32318739","59","31778988"
"KN294167v1","553393","553655","JH378105","21163224","21163461","58","20609831"
"KN294167v1","558408","558714","JH378105","21167883","21168168","58","20609475"
"KN294167v1","562327","562535","JH378105","21172475","21172667","48","20610148"
"KN294167v1","565073","565357","JH378146","6770339","6770621","58","6205266"
"KN294167v1","577484","577694","JH378190","1083992","1084195","57","506508"
"KN294167v1","579470","579744","JH378109","49458100","49458388","66","48878630"
"KN294167v1","579994","580315","JH378175","5395838","5396149","57","4815844"
"KN294169v1","43768","44084","JH378216","4712187","4712503","60","4668419"
"KN294169v1","54149","54454","JH378304","682248","682545","61","628099"
"KN294169v1","91845","92010","JH378123","7774503","7774661","45","7682658"
"KN294169v1","176079","176368","JH378186","10005487","10005774","54","9829408"
"KN294169v1","191004","191155","JH378148","3849075","3849233","28","3658071"
"KN294169v1","212441","212731","JH378234","678245","678538","59","465804"
"KN294170v1","4243","4495","JH378172","12605881","12606120","66","12601638"
"KN294170v1","27643","27832","JH378180","10210067","10210251","23","10182424"
"KN294170v1","27834","27886","JH378107","18753960","18754007","12","18726126"
"KN294170v1","38455","38752","JH378153","3171644","3171946","53","3133189"
"KN294170v1","72228","72515","JH378180","10248101","10248383","33","10175873"
"KN294170v1","126368","126644","JH378113","23565503","23565781","61","23439135"
"KN294170v1","138974","139238","JH378177","2035399","2035668","72","1896425"
"KN294170v1","160731","160982","JH378308","835591","835840","59","674860"
"KN294170v1","163175","163436","JH378180","10326007","10326264","37","10162832"
"KN294170v1","202498","202776","JH378180","10365879","10366169","58","10163381"
"KN294170v1","206320","206444","JH378134","17024952","17025075","19","16818632"
"KN294170v1","206747","206939","JH378142","1631906","1632103","44","1425159"
"KN294170v1","212298","212588","JH378180","10375716","10376027","63","10163418"
"KN294170v1","221681","221840","JH378180","10385619","10385786","22","10163938"
"KN294170v1","228181","228457","JH378117","299404","299681","60","71223"
"KN294170v1","235885","236177","JH378180","10404028","10404323","54","10168143"
"KN294170v1","257729","257912","JH378180","10426584","10426771","26","10168855"
"KN294170v1","325951","326193","JH378331","144755","144978","62","181196"
"KN294170v1","345073","345273","JH378180","10506671","10506868","36","10161598"
"KN294170v1","352700","352999","JH378279","1599722","1600023","65","1247022"
"KN294170v1","422714","423009","JH378180","10581840","10582128","42","10159126"
"KN294172v1","1834834","1835130","JH378113","17278444","17278745","62","15443610"
"KN294172v1","5111746","5111888","JH378156","4663041","4663193","38","448705"
"KN294172v1","148815","149124","JH378150","8919161","8919463","59","8770346"
"KN294172v1","165246","165506","JH378150","9769849","9770112","62","9604603"
"KN294172v1","240293","240536","JH378208","3426524","3426744","66","3186231"
"KN294172v1","246469","246768","JH378157","3641885","3642189","53","3395416"
"KN294172v1","252187","252483","JH378112","32124947","32125242","50","31872760"
"KN294172v1","272568","272694","JH378320","685644","685764","38","413076"
"KN294172v1","304008","304315","JH378108","37889727","37890032","59","37585719"
"KN294172v1","313855","314147","JH378157","3579220","3579506","42","3265365"
"KN294172v1","318492","318640","JH378235","803036","803188","32","484544"
"KN294172v1","318956","319092","JH378216","5611180","5611315","23","5292224"
"KN294172v1","320704","320992","JH378245","367489","367781","54","46785"
"KN294172v1","328866","329165","JH378224","3315870","3316166","57","2987004"
"KN294172v1","334057","334339","JH378157","3558735","3559014","34","3224678"
"KN294172v1","335847","336025","JH378220","1040233","1040409","35","704386"
"KN294172v1","337584","337793","AGCE01151127","71","275","60","337513"
"KN294172v1","351426","351565","JH378220","4900506","4900643","23","4549080"
"KN294172v1","390173","390480","JH378157","3473909","3474222","41","3083736"
"KN294172v1","413943","414195","JH378296","1603039","1603290","72","1189096"
"KN294172v1","427314","427591","JH378157","3503376","3503654","45","3076062"
"KN294172v1","428070","428286","JH378106","14354838","14355052","59","13926768"
"KN294172v1","499697","499938","JH378113","32335743","32335974","63","31836046"
"KN294172v1","506848","507112","JH378157","3407290","3407548","49","2900442"
"KN294172v1","614696","614986","JH378119","5537878","5538164","60","4923182"
"KN294172v1","661701","661993","JH378169","11815199","11815498","53","11153498"
"KN294172v1","696406","696719","JH378163","13319259","13319561","58","12622853"
"KN294172v1","718875","719158","JH378106","13568243","13568527","48","12849368"
"KN294172v1","734938","735222","JH378139","19607372","19607664","53","18872434"
"KN294172v1","772365","772496","JH378149","13260341","13260474","23","12487976"
"KN294172v1","783573","783878","JH378105","68711175","68711479","59","67927602"
"KN294172v1","838925","839214","JH378114","41084090","41084377","60","40245165"
"KN294172v1","839259","839281","JH378105","61670629","61670648","4","60831370"
"KN294172v1","843938","844241","JH378157","3095911","3096201","52","2251973"
"KN294172v1","857839","858126","JH378264","3313364","3313656","58","2455525"
"KN294172v1","865904","866202","JH378134","16027671","16027974","57","15161767"
"KN294172v1","903311","903603","JH378114","21305474","21305766","52","20402163"
"KN294172v1","913316","913495","JH378141","18960781","18960960","38","18047465"
"KN294172v1","923265","923564","JH378129","11024310","11024593","64","10101045"
"KN294172v1","999479","999763","JH378157","2946137","2946432","54","1946658"
"KN294172v1","1009351","1009580","JH378157","2935718","2935943","35","1926367"
"KN294172v1","1021616","1021898","JH378157","2924245","2924530","38","1902629"
"KN294172v1","1111157","1111308","JH378185","977182","977332","28","133975"
"KN294172v1","1111336","1111350","JH378120","8540333","8540347","1","7428997"
"KN294172v1","1148228","1148390","JH378238","5730567","5730724","32","4582339"
"KN294172v1","1195520","1195786","JH378169","9737489","9737758","72","8541969"
"KN294172v1","1226168","1226326","JH378149","963215","963352","40","262953"
"KN294172v1","1329379","1329668","JH378157","2672816","2673111","43","1343437"
"KN294172v1","1333053","1333287","JH378198","2677897","2678136","59","1344844"
"KN294172v1","1365954","1366131","JH378203","5875754","5875929","31","4509800"
"KN294172v1","1366438","1366567","JH378116","14054862","14054991","20","12688424"
"KN294172v1","1371013","1371315","JH378136","7560379","7560671","57","6189366"
"KN294172v1","1378481","1378769","JH378157","2620821","2621124","61","1242340"
"KN294172v1","1384862","1385069","JH378112","13026382","13026589","44","11641520"
"KN294172v1","1391556","1391721","JH378157","2608414","2608583","21","1216858"
"KN294172v1","1415795","1416101","JH378157","2586970","2587264","49","1171175"
"KN294172v1","1424059","1424357","JH378186","4705404","4705703","54","3281345"
"KN294172v1","1428033","1428330","JH378106","13016979","13017293","62","11588946"
"KN294172v1","1437946","1438182","JH378153","2375209","2375445","52","937263"
"KN294172v1","1441996","1442287","JH378122","15994658","15994936","62","14552662"
"KN294172v1","1461519","1461803","JH378142","6297014","6297300","51","4835495"
"KN294172v1","1526645","1526808","JH378110","22275986","22276146","35","20749341"
"KN294172v1","1571841","1572131","JH378157","2442526","2442814","55","870685"
"KN294172v1","1577271","1577554","JH378157","2439010","2439292","27","861739"
"KN294172v1","1591960","1592262","JH378288","1032107","1032399","59","559853"
"KN294172v1","1602829","1602935","JH378279","1878523","1878626","18","275694"
"KN294172v1","1610530","1610720","JH378110","25087268","25087462","40","23476738"
"KN294172v1","1624590","1624883","JH378139","2213286","2213577","67","588696"
"KN294172v1","1627242","1627529","JH378131","10183537","10183826","53","8556295"
"KN294172v1","1631520","1631812","JH378249","2316080","2316378","55","684560"
"KN294172v1","1643963","1644251","JH378164","7558086","7558371","61","5914123"
"KN294172v1","1647675","1647972","JH378128","11634173","11634473","62","9986498"
"KN294172v1","1655193","1655269","JH378201","618082","618159","16","1037111"
"KN294172v1","1657329","1657622","JH378194","7797019","7797318","55","6139690"
"KN294172v1","1657646","1657942","JH378157","2350560","2350872","43","692914"
"KN294172v1","1674564","1674776","JH378108","20555906","20556110","48","18881342"
"KN294172v1","1700918","1701053","JH378157","2295739","2295872","21","594821"
"KN294172v1","1701573","1701717","JH378204","7581145","7581290","26","5879572"
"KN294172v1","1723716","1723874","JH378133","10257458","10257606","33","8533742"
"KN294172v1","1724167","1724305","JH378106","67436146","67436283","23","65711979"
"KN294172v1","1729634","1729941","JH378173","3164172","3164482","61","1434538"
"KN294172v1","1755431","1755749","JH378151","7160929","7161239","62","5405498"
"KN294172v1","1762529","1762855","JH378157","2244645","2244963","37","482116"
"KN294172v1","1778019","1778332","JH378105","48787982","48788296","63","47009963"
"KN294172v1","1790391","1790685","JH378153","14124112","14124404","64","12333721"
"KN294172v1","1794472","1794779","JH378105","58931626","58931930","56","57137154"
"KN294172v1","1804408","1804693","JH378116","10268326","10268625","66","8463918"
"KN294172v1","1807433","1807688","JH378220","3162273","3162527","68","1354840"
"KN294172v1","1851081","1851376","JH378157","2165554","2165851","55","314473"
"KN294172v1","1876515","1876807","JH378153","12575894","12576177","59","10699379"
"KN294172v1","1880123","1880405","JH378157","2137702","2137984","43","257579"
"KN294172v1","1896908","1897204","JH378157","2120705","2121000","39","223797"
"KN294172v1","1915186","1915508","JH378157","2106592","2106893","63","191406"
"KN294172v1","1944878","1944905","JH378105","18276659","18276686","6","16331781"
"KN294172v1","1945302","1945402","JH378141","19075518","19075610","21","17130216"
"KN294172v1","1955434","1955601","JH378167","5219363","5219528","36","3263929"
"KN294172v1","1955627","1955737","JH378108","33718524","33718628","26","31762897"
"KN294172v1","1982826","1982903","JH378136","16204161","16204239","15","14221335"
"KN294172v1","1988733","1989042","JH378153","5788363","5788665","64","3799630"
"KN294172v1","1990785","1990871","JH378153","11400043","11400119","33","9409258"
"KN294172v1","2000440","2000732","JH378157","2010843","2011139","40","10403"
"KN294172v1","2001808","2002020","JH378157","2009311","2009522","33","7503"
"KN294172v1","2012329","2012507","JH378110","8548203","8548376","37","6535874"
"KN294172v1","2013928","2014235","JH378157","2002881","2003170","45","11047"
"KN294172v1","2029991","2030290","JH378153","3171644","3171946","66","1141653"
"KN294172v1","2033811","2033951","JH378115","14147937","14148078","33","12114126"
"KN294172v1","2069928","2070213","JH378157","1958609","1958898","50","111319"
"KN294172v1","2071216","2071477","JH378253","1299268","1299527","54","771948"
"KN294172v1","2124601","2124894","JH378171","8136930","8137229","68","6012329"
"KN294172v1","2136052","2136256","JH378172","10803340","10803540","43","8667288"
"KN294172v1","2136554","2136587","JH378123","22167648","22167680","9","20031094"
"KN294172v1","2138885","2139001","JH378157","1899533","1899650","15","239352"
"KN294172v1","2151634","2151924","JH378131","5216281","5216560","60","3064647"
"KN294172v1","2204386","2204669","JH378110","17760774","17761055","50","15556388"
"KN294172v1","2253875","2254041","JH378111","44621259","44621420","27","42367384"
"KN294172v1","2262102","2262372","JH378205","3259799","3260071","50","997697"
"KN294172v1","2266525","2266696","JH378116","9770430","9770600","34","7503905"
"KN294172v1","2268466","2268621","JH378116","26994083","26994239","35","24725617"
"KN294172v1","2271985","2272303","JH378110","22042275","22042581","71","19770290"
"KN294172v1","2299181","2299370","JH378124","6208299","6208479","40","3909118"
"KN294172v1","2300454","2300745","JH378157","1745134","1745415","65","555320"
"KN294172v1","2337064","2337362","JH378157","1710428","1710723","55","626636"
"KN294172v1","2340005","2340153","JH378156","2117642","2117795","38","222363"
"KN294172v1","2384153","2384456","JH378157","7885065","7885362","61","5500912"
"KN294172v1","2400627","2400914","JH378119","32438705","32438990","61","30038078"
"KN294172v1","2403314","2403377","JH378248","2879305","2879372","11","475991"
"KN294172v1","2405819","2405997","JH378115","22396524","22396702","35","19990705"
"KN294172v1","2437204","2437487","JH378157","1640016","1640329","56","797188"
"KN294172v1","2449430","2449725","JH378157","1627985","1628274","53","821445"
"KN294172v1","2530454","2530765","JH378111","34320399","34320710","61","31789945"
"KN294172v1","2555005","2555305","JH378271","384089","384386","61","2170916"
"KN294172v1","2562854","2562974","JH378127","12952086","12952205","20","10389232"
"KN294172v1","2563011","2563160","JH378105","29734151","29734311","34","27171140"
"KN294172v1","2568110","2568405","JH378157","1521711","1522008","37","1046399"
"KN294172v1","2851052","2851331","JH378198","6130807","6131087","61","3279755"
"KN294172v1","2856045","2856332","JH378146","12022086","12022371","63","9166041"
"KN294172v1","2863438","2863742","JH378114","42572765","42573053","58","39709327"
"KN294172v1","2881415","2881607","JH378149","12665403","12665593","50","9783988"
"KN294172v1","2893050","2893355","JH378157","1184468","1184770","44","1708582"
"KN294172v1","2895474","2895765","JH378152","14812325","14812616","58","11916851"
"KN294172v1","2896618","2896875","JH378157","1179087","1179353","48","1717531"
"KN294172v1","2911998","2912181","JH378132","12660775","12660943","42","9748777"
"KN294172v1","2912225","2912354","JH378179","5398352","5398476","22","2486127"
"KN294172v1","2918171","2918342","JH378130","7933891","7934056","31","5015720"
"KN294172v1","2918639","2918772","JH378108","23987151","23987282","20","21068512"
"KN294172v1","2919917","2920229","JH378115","35204654","35204962","60","32284737"
"KN294172v1","2952399","2952568","JH378120","2684280","2684437","38","268119"
"KN294172v1","2952594","2952733","JH378300","1168957","1169084","38","1783637"
"KN294172v1","2959693","2960001","JH378114","41019183","41019491","68","38059490"
"KN294172v1","2975254","2975406","JH378220","4003505","4003663","40","1028251"
"KN294172v1","2975502","2975673","JH378186","8453436","8453608","36","5477934"
"KN294172v1","3026966","3027261","JH378157","1061835","1062121","44","1965131"
"KN294172v1","3094469","3094608","JH378279","2971597","2971736","42","122872"
"KN294172v1","3094610","3094654","JH378105","71360306","71360355","11","68265696"
"KN294172v1","3094830","3095118","JH378136","5760159","5760456","67","2665329"
"KN294172v1","3112991","3113154","JH378156","16022262","16022423","40","12909271"
"KN294172v1","3146318","3146591","JH378297","764907","765170","66","2381411"
"KN294172v1","3156522","3156801","JH378201","541368","541648","54","2615154"
"KN294172v1","3206828","3207123","JH378157","905112","905393","37","2301716"
"KN294172v1","3232239","3232578","JH378157","882839","883142","65","2349400"
"KN294172v1","3252508","3252804","JH378157","858423","858727","40","2394085"
"KN294172v1","3287197","3287500","JH378157","824637","824958","65","2462560"
